size,repeats,singles,heuristic,blocks,score
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,1,1.0
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,11,0.898989898989899
100,2,5,combine,21,0.797979797979798
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,2,0.98989898989899
100,2,5,combine,21,0.797979797979798
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,31,0.696969696969697
100,2,5,combine,31,0.696969696969697
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,12,0.8888888888888888
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,1,1.0
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,8,0.9292929292929293
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,2,0.98989898989899
100,2,5,combine,1,1.0
100,2,5,combine,36,0.6464646464646465
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,31,0.696969696969697
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,1,1.0
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,31,0.696969696969697
100,2,5,combine,2,0.98989898989899
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,34,0.6666666666666666
100,2,5,combine,1,1.0
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,21,0.797979797979798
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,9,0.9191919191919192
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,37,0.6363636363636364
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,11,0.898989898989899
100,2,5,combine,1,1.0
100,2,5,combine,1,1.0
100,2,5,combine,11,0.898989898989899
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,35,0.6565656565656566
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,31,0.696969696969697
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,1,1.0
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,1,1.0
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,12,0.8888888888888888
100,2,5,combine,1,1.0
100,2,5,combine,21,0.797979797979798
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,34,0.6666666666666666
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,8,0.9292929292929293
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,1,1.0
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,31,0.696969696969697
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,1,1.0
100,2,5,combine,36,0.6464646464646465
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,11,0.898989898989899
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,21,0.797979797979798
100,2,5,combine,21,0.797979797979798
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,35,0.6565656565656566
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,8,0.9292929292929293
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,2,0.98989898989899
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,8,0.9292929292929293
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,35,0.6565656565656566
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,37,0.6363636363636364
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,1,1.0
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,1,1.0
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,9,0.9191919191919192
100,2,5,combine,31,0.696969696969697
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,37,0.6363636363636364
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,2,0.98989898989899
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,34,0.6666666666666666
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,1,1.0
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,1,1.0
100,2,5,combine,1,1.0
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,2,0.98989898989899
100,2,5,combine,12,0.8888888888888888
100,2,5,combine,31,0.696969696969697
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,1,1.0
100,2,5,combine,1,1.0
100,2,5,combine,21,0.797979797979798
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,34,0.6666666666666666
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,1,1.0
100,2,5,combine,39,0.6161616161616161
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,38,0.6262626262626263
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,12,0.8888888888888888
100,2,5,combine,21,0.797979797979798
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,1,1.0
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,34,0.6666666666666666
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,9,0.9191919191919192
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,12,0.8888888888888888
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,1,1.0
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,2,0.98989898989899
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,8,0.9292929292929293
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,7,0.9393939393939394
100,2,5,combine,1,1.0
100,2,5,combine,1,1.0
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,2,0.98989898989899
100,2,5,combine,1,1.0
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,1,1.0
100,2,5,combine,2,0.98989898989899
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,21,0.797979797979798
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,31,0.696969696969697
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,21,0.797979797979798
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,34,0.6666666666666666
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,35,0.6565656565656566
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,1,1.0
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,31,0.696969696969697
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,1,1.0
100,2,5,combine,11,0.898989898989899
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,38,0.6262626262626263
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,1,1.0
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,1,1.0
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,7,0.9393939393939394
100,2,5,combine,11,0.898989898989899
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,7,0.9393939393939394
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,12,0.8888888888888888
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,31,0.696969696969697
100,2,5,combine,1,1.0
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,1,1.0
100,2,5,combine,11,0.898989898989899
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,11,0.898989898989899
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,9,0.9191919191919192
100,2,5,combine,2,0.98989898989899
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,9,0.9191919191919192
100,2,5,combine,40,0.6060606060606061
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,21,0.797979797979798
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,38,0.6262626262626263
100,2,5,combine,1,1.0
100,2,5,combine,21,0.797979797979798
100,2,5,combine,34,0.6666666666666666
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,2,0.98989898989899
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,31,0.696969696969697
100,2,5,combine,6,0.9494949494949495
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,1,1.0
100,2,5,combine,31,0.696969696969697
100,2,5,combine,9,0.9191919191919192
100,2,5,combine,1,1.0
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,7,0.9393939393939394
100,2,5,combine,2,0.98989898989899
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,1,1.0
100,2,5,combine,12,0.8888888888888888
100,2,5,combine,1,1.0
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,1,1.0
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,1,1.0
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,7,0.9393939393939394
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,7,0.9393939393939394
100,2,5,combine,2,0.98989898989899
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,11,0.898989898989899
100,2,5,combine,1,1.0
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,11,0.898989898989899
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,8,0.9292929292929293
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,7,0.9393939393939394
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,8,0.9292929292929293
100,2,5,combine,21,0.797979797979798
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,1,1.0
100,2,5,combine,31,0.696969696969697
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,36,0.6464646464646465
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,21,0.797979797979798
100,2,5,combine,11,0.898989898989899
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,12,0.8888888888888888
100,2,5,combine,34,0.6666666666666666
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,21,0.797979797979798
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,14,0.8686868686868687
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,37,0.6363636363636364
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,1,1.0
100,2,5,combine,1,1.0
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,21,0.797979797979798
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,8,0.9292929292929293
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,34,0.6666666666666666
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,36,0.6464646464646465
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,12,0.8888888888888888
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,1,1.0
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,21,0.797979797979798
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,11,0.898989898989899
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,31,0.696969696969697
100,2,5,combine,9,0.9191919191919192
100,2,5,combine,21,0.797979797979798
100,2,5,combine,1,1.0
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,21,0.797979797979798
100,2,5,combine,2,0.98989898989899
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,11,0.898989898989899
100,2,5,combine,2,0.98989898989899
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,9,0.9191919191919192
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,1,1.0
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,17,0.8383838383838383
100,2,5,combine,7,0.9393939393939394
100,2,5,combine,1,1.0
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,36,0.6464646464646465
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,7,0.9393939393939394
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,5,0.9595959595959596
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,1,1.0
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,35,0.6565656565656566
100,2,5,combine,26,0.7474747474747475
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,10,0.9090909090909091
100,2,5,combine,4,0.9696969696969697
100,2,5,combine,30,0.7070707070707071
100,2,5,combine,21,0.797979797979798
100,2,5,combine,1,1.0
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,7,0.9393939393939394
100,2,5,combine,31,0.696969696969697
100,2,5,combine,20,0.8080808080808081
100,2,5,combine,29,0.7171717171717171
100,2,5,combine,33,0.6767676767676768
100,2,5,combine,3,0.9797979797979798
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,23,0.7777777777777778
100,2,5,combine,19,0.8181818181818182
100,2,5,combine,16,0.8484848484848485
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,1,1.0
100,2,5,combine,15,0.8585858585858586
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,34,0.6666666666666666
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,27,0.7373737373737373
100,2,5,combine,22,0.7878787878787878
100,2,5,combine,25,0.7575757575757576
100,2,5,combine,18,0.8282828282828283
100,2,5,combine,28,0.7272727272727273
100,2,5,combine,31,0.696969696969697
100,2,5,combine,13,0.8787878787878788
100,2,5,combine,24,0.7676767676767676
100,2,5,combine,32,0.6868686868686869
100,2,5,combine,15,0.8585858585858586
